KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,HOME_VAL,EDUCATION,JOB,TRAVTIME,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE,Yes,z_No,z_Highly Rural/ Rural,Commercial,Private,Highly Urban/ Urban,No,No_right,TARGET_AMT,Yes_right,Yes_sec,TARGET_FLA
0,34.0,3,12.0,22510.0,123888.0,4,0,26,14690.0,4,0,0.0,0,0,1.0,1,0,1,0,1,False,False,False,False,False,False,0
0,35.0,2,12.0,60324.26537698413,0.0,0,8,43,9730.0,5,5,0.0,0,4,4.0,0,1,0,0,1,False,False,False,False,False,False,0
2,44.0,2,14.0,45576.0,156623.0,0,8,27,1500.0,4,3,25276.0,1,8,8.183399602385686,1,0,0,0,1,False,False,False,False,False,False,0
0,48.0,0,9.0,61509.0,195438.0,2,7,40,23230.0,6,1,0.0,0,1,17.0,1,0,0,1,0,False,False,False,False,False,False,0
0,62.0,0,15.0,40656.0,208242.0,4,0,57,9170.0,4,3,42342.0,2,2,7.0,1,0,0,0,1,False,False,False,False,False,False,0
0,39.0,0,11.0,33727.0,0.0,1,0,27,10850.0,1,5,8350.0,1,2,12.0,0,1,0,0,1,False,False,False,False,False,False,0
0,38.0,0,0.0,0.0,0.0,4,6,41,17470.0,10,4,3157.0,2,5,6.0,1,0,1,1,0,False,False,False,False,False,False,0
0,39.0,2,0.0,0.0,69369.0,4,2,36,8750.0,4,3,0.0,0,0,8.0,1,0,0,0,1,False,False,False,False,False,False,0
2,44.0,2,13.0,142588.0,365256.0,2,4,28,21790.0,6,0,0.0,0,2,9.0,1,0,0,0,1,False,False,False,False,False,False,0
0,45.0,0,12.0,32394.0,0.0,4,0,33,13770.0,4,5,0.0,0,0,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,43.0,1,0.0,0.0,70170.0,1,2,26,8350.0,1,5,0.0,0,3,7.0,1,0,0,0,1,False,False,False,False,False,False,0
0,64.0,0,15.0,31738.0,197010.0,0,8,23,14620.0,6,5,3994.0,2,0,1.0,1,0,0,1,0,False,False,False,False,False,False,0
0,60.0,0,9.0,125893.0,0.0,3,7,21,7500.0,9,2,7278.0,2,4,15.0,0,1,0,1,0,False,False,False,False,False,False,0
2,35.0,4,6.0,154577.0,397868.0,1,8,27,20450.0,6,5,4645.0,1,3,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,52.0,0,11.0,79348.0,270032.0,4,4,23,13150.0,11,5,0.0,0,2,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,56.0,2,14.0,192089.0,471701.0,3,7,31,21100.0,1,4,0.0,0,0,8.183399602385686,1,0,0,1,0,False,False,False,False,False,False,0
0,55.0,0,15.0,108152.0,329756.0,2,4,18,12320.0,1,5,0.0,0,0,15.0,1,0,0,0,1,False,False,False,False,False,False,0
0,26.0,0,8.0,53244.0,0.0,1,5,28,20920.0,3,4,6224.0,1,1,8.0,0,1,0,1,0,False,False,False,False,False,False,0
0,52.0,0,8.0,88560.0,244028.0,2,3,14,13630.0,1,0,0.0,0,4,17.0,1,0,0,0,1,False,False,False,False,False,False,0
0,41.0,0,12.0,110386.0,335488.0,2,7,21,16640.0,1,4,0.0,0,2,14.0,1,0,0,1,0,False,False,False,False,False,False,0
0,49.0,0,12.0,53765.0,0.0,1,5,5,12360.0,4,5,0.0,0,0,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,30.0,2,10.379091353199804,26226.0,165178.0,4,0,68,23610.0,4,5,0.0,0,1,1.0,1,0,1,0,1,False,False,False,False,False,False,0
1,34.0,3,12.0,29431.0,143149.0,0,0,12,22560.0,1,0,0.0,0,1,8.183399602385686,1,0,0,0,1,False,False,False,False,False,False,0
0,44.0,0,14.0,44790.0,205463.0,2,7,5,19800.0,4,2,37163.0,1,4,9.0,1,0,0,1,0,False,False,False,False,False,False,0
0,49.0,0,10.379091353199804,38326.0,133010.0,2,3,5,10230.0,4,2,0.0,0,0,17.0,1,0,0,0,1,False,False,False,False,False,False,0
1,40.0,2,12.0,35260.0,141167.0,0,8,30,9740.0,7,5,2235.0,1,8,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,26.0,3,9.0,33283.0,104323.0,1,8,37,7690.0,10,2,0.0,0,2,16.0,1,0,0,1,0,False,False,False,False,False,False,0
0,46.0,0,7.0,26697.0,134863.0,0,0,43,15080.0,6,5,0.0,0,4,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,50.0,0,7.0,73308.0,240645.0,2,3,38,18720.0,7,4,0.0,0,2,19.0,0,1,1,0,1,False,False,False,False,False,False,0
0,62.0,0,12.0,22181.0,185459.0,4,0,24,17880.0,7,3,9873.0,3,5,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,53.0,1,13.0,52759.0,164906.0,1,5,41,24160.0,9,0,0.0,0,0,13.0,1,0,1,0,1,False,False,False,False,False,False,0
0,44.0,0,4.0,146267.0,357184.0,2,7,51,6720.0,4,2,0.0,0,0,10.0,1,0,0,1,0,False,False,False,False,False,False,0
0,48.0,1,10.0,84629.0,308848.0,1,4,35,15060.0,7,5,9592.0,1,0,10.0,1,0,0,0,1,False,False,False,False,False,False,0
1,45.0,2,17.0,111268.0,288071.0,2,3,46,24600.0,1,4,28026.0,2,2,10.0,1,0,0,0,1,False,False,False,False,False,False,0
0,41.0,0,10.0,97700.0,0.0,1,2,43,26250.0,8,2,0.0,0,0,6.0,0,1,1,0,1,False,False,False,False,False,False,0
0,32.0,3,13.0,30955.0,111256.0,4,0,9,7800.0,4,5,0.0,0,0,8.0,0,1,0,0,1,False,False,False,False,False,False,0
0,49.0,1,15.0,89612.0,261946.0,2,5,23,6400.0,10,2,0.0,0,0,23.0,1,0,0,1,0,False,False,False,False,False,False,0
0,41.0,0,12.0,80718.0,0.0,1,5,29,26480.0,11,3,8623.0,3,5,8.0,0,1,0,0,1,False,False,False,False,False,False,0
1,44.0,2,15.0,46140.0,169084.0,4,8,29,10510.0,1,2,4276.0,3,7,1.0,1,0,0,1,0,False,False,False,False,False,False,0
0,47.0,0,12.0,80105.0,0.0,2,4,29,14210.0,6,0,0.0,0,1,12.0,0,1,0,0,1,False,False,False,False,False,False,0
2,41.0,2,8.0,60324.26537698413,0.0,0,6,43,5850.0,1,2,9419.0,1,5,6.0,1,0,1,1,0,False,False,False,False,False,False,0
0,41.0,2,10.0,78675.0,265450.0,1,8,33,13470.0,11,0,0.0,0,0,3.0,0,1,0,1,0,False,False,False,False,False,False,0
0,50.0,0,10.0,219024.0,0.0,3,7,27,23370.0,4,1,4117.0,2,4,20.0,0,1,0,1,0,False,False,False,False,False,False,0
0,51.0,0,10.0,55573.0,0.0,2,3,18,12160.0,1,5,9768.0,1,6,14.0,0,1,0,0,1,False,False,False,False,False,False,0
0,53.0,0,8.0,61862.0,245885.0,3,1,33,11270.0,1,2,0.0,0,0,14.0,1,0,0,0,1,False,False,False,False,False,False,0
0,32.0,3,14.0,21944.0,128776.0,0,8,34,7270.0,1,5,0.0,0,1,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,48.0,0,14.0,42008.0,176219.0,2,3,23,10000.0,4,5,0.0,0,0,14.0,1,0,1,0,1,False,False,False,False,False,False,0
0,54.0,0,8.0,90149.0,261569.0,2,4,17,15910.0,4,5,0.0,0,1,10.0,1,0,0,0,1,False,False,False,False,False,False,0
0,55.0,0,15.0,75249.0,0.0,2,7,5,17020.0,1,4,1316.0,2,1,21.0,0,1,0,1,0,False,False,False,False,False,False,0
0,51.0,0,11.0,117016.0,0.0,2,4,23,20320.0,4,0,1197.0,2,6,8.0,0,1,0,0,1,False,False,False,False,False,False,0
0,47.0,0,7.0,76462.0,229334.0,1,5,29,13850.0,6,0,0.0,0,0,7.0,1,0,0,0,1,False,False,False,False,False,False,0
0,44.0,1,10.379091353199804,0.0,70461.0,2,2,19,2640.0,4,3,2219.0,2,1,13.0,1,0,0,0,1,False,False,False,False,False,False,0
0,36.0,0,13.0,20891.0,134406.0,4,8,39,5100.0,1,5,2949.0,2,9,7.0,1,0,0,1,0,False,False,False,False,False,False,0
0,35.0,2,10.0,17493.0,102902.0,0,0,52,19340.0,9,0,5658.0,3,7,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,43.0,0,11.0,39848.0,136304.0,2,3,45,18060.0,8,5,0.0,0,0,15.0,0,1,0,0,1,False,False,False,False,False,False,0
0,42.0,1,12.0,117978.0,0.0,1,8,17,28700.0,1,5,0.0,0,0,7.0,0,1,1,1,0,False,False,False,False,False,False,0
0,56.0,0,12.0,62483.0,153217.67142857143,1,4,18,20940.0,6,0,0.0,0,0,8.0,1,0,0,0,1,False,False,False,False,False,False,0
0,39.0,0,14.0,73367.0,0.0,1,5,36,12740.0,6,0,3320.0,1,4,7.0,0,1,0,0,1,False,False,False,False,False,False,0
0,32.0,4,15.0,4478.0,0.0,0,6,7,6780.0,4,5,7181.0,3,5,8.0,0,1,0,0,1,False,False,False,False,False,False,0
0,44.0,1,9.0,5952.0,0.0,1,6,22,6500.0,4,2,0.0,0,0,10.0,1,0,0,1,0,False,False,False,False,False,False,0
0,44.0,1,11.0,75046.0,244819.0,4,8,56,9000.0,4,2,3288.0,3,6,10.0,1,0,0,1,0,False,False,False,False,False,False,0
0,38.0,0,10.0,75432.0,0.0,1,4,51,16260.0,1,5,8035.0,3,0,13.0,0,1,0,0,1,False,False,False,False,False,False,0
0,35.0,3,13.0,64872.0,187354.0,0,0,44,11490.0,1,5,0.0,0,3,8.0,1,0,0,0,1,False,False,False,False,False,False,0
0,55.0,0,14.0,66964.0,0.0,2,3,47,13700.0,6,0,6183.0,3,3,18.0,0,1,0,0,1,False,False,False,False,False,False,0
0,42.0,2,11.0,34210.0,186734.0,4,0,34,12880.0,6,0,1830.0,1,0,1.0,1,0,0,0,1,False,False,False,False,False,False,0
1,43.0,2,11.0,24124.0,157794.0,0,8,40,8140.0,7,5,0.0,0,0,1.0,1,0,1,0,1,False,False,False,False,False,False,0
0,44.0,0,12.0,39852.0,125283.0,4,8,37,7410.0,1,5,3704.0,2,0,6.0,1,0,0,1,0,False,False,False,False,False,False,0
0,51.0,0,13.0,65702.0,0.0,2,3,27,15820.0,1,5,7181.0,2,3,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,34.0,1,12.0,68833.0,183087.0,1,0,35,21940.0,4,2,1494.0,2,3,9.0,1,0,0,1,0,False,False,False,False,False,False,0
1,40.0,2,6.0,54159.0,180764.0,0,8,65,16920.0,10,4,0.0,0,1,1.0,1,0,1,0,1,False,False,False,False,False,False,0
0,37.0,3,17.0,6217.0,0.0,4,6,27,22260.0,10,2,0.0,0,0,4.0,1,0,0,1,0,False,False,False,False,False,False,0
0,58.0,0,14.0,39707.0,192089.0,0,8,29,16870.0,1,4,3546.0,1,6,6.0,1,0,0,1,0,False,False,False,False,False,False,0
0,50.0,0,10.0,24358.0,128210.0,0,8,11,17790.0,3,4,0.0,0,0,7.0,1,0,0,0,1,False,False,False,False,False,False,0
0,46.0,0,7.0,106409.0,0.0,2,7,42,24410.0,6,2,6948.0,1,0,18.0,0,1,0,1,0,False,False,False,False,False,False,0
0,53.0,0,14.0,59797.0,178230.0,3,1,35,18070.0,4,0,0.0,0,0,16.0,1,0,0,0,1,False,False,False,False,False,False,0
0,63.0,2,10.0,52064.0,153217.67142857143,4,8,16,11770.0,1,3,834.0,2,8,1.0,1,0,0,1,0,False,False,False,False,False,False,0
0,53.0,0,7.0,77012.0,316239.0,3,1,22,21440.0,1,4,8744.0,2,0,13.0,1,0,0,0,1,False,False,False,False,False,False,0
0,36.0,0,11.0,17085.0,0.0,4,6,58,15840.0,7,3,4070.0,2,2,1.0,1,0,1,0,1,False,False,False,False,False,False,0
0,43.0,0,13.0,238856.0,153217.67142857143,2,7,19,29690.0,11,1,0.0,0,0,22.0,1,0,0,1,0,False,False,False,False,False,False,0
0,54.0,0,12.0,69625.0,271183.0,1,4,51,22340.0,1,5,3155.0,1,2,12.0,1,0,0,0,1,False,False,False,False,False,False,0
0,39.0,3,16.0,42535.0,189139.0,4,0,22,19330.0,4,4,0.0,0,1,8.0,1,0,1,1,0,False,False,False,False,False,False,0
1,43.0,2,14.0,81674.0,233744.0,1,4,39,34680.0,1,1,0.0,0,1,10.0,1,0,0,1,0,False,False,False,False,False,False,0
0,51.0,0,13.0,34658.0,159187.0,1,5,31,15660.0,1,0,0.0,0,0,11.0,1,0,1,0,1,False,False,False,False,False,False,0
0,42.0,0,0.0,0.0,0.0,4,2,5,25540.0,1,3,0.0,0,0,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,41.0,0,6.0,86227.0,237057.0,2,7,28,19530.0,9,4,2948.0,3,2,17.0,0,1,0,1,0,False,False,False,False,False,False,0
0,35.0,1,12.0,77126.0,242001.0,4,4,5,11510.0,10,2,3079.0,3,0,1.0,1,0,0,1,0,False,False,False,False,False,False,0
0,35.0,2,0.0,0.0,0.0,0,6,32,4810.0,1,5,0.0,0,0,6.0,1,0,0,0,1,False,False,False,False,False,False,0
1,41.0,3,5.0,30043.0,153217.67142857143,4,0,22,16860.0,4,4,0.0,0,0,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,43.0,0,14.0,54932.0,225678.0,4,0,37,11290.0,4,2,5076.0,3,5,1.0,1,0,0,1,0,False,False,False,False,False,False,0
0,42.0,0,8.0,94591.0,309644.0,0,8,21,17470.0,6,4,16121.0,3,3,8.0,0,1,0,1,0,False,False,False,False,False,False,0
1,56.0,2,17.0,60324.26537698413,315504.0,1,5,32,28740.0,1,0,0.0,0,1,6.0,1,0,0,0,1,False,False,False,False,False,False,0
0,40.0,1,13.0,79715.0,0.0,1,0,6,23140.0,10,0,0.0,0,0,7.0,0,1,0,0,1,False,False,False,False,False,False,0
0,51.0,0,12.0,40760.0,186223.0,1,5,24,11880.0,1,2,0.0,0,0,8.0,0,1,0,0,1,False,False,False,False,False,False,0
0,38.0,0,10.0,28409.0,0.0,4,0,27,8140.0,10,2,0.0,0,1,7.0,0,1,1,1,0,False,False,False,False,False,False,0
0,27.0,3,9.0,69794.0,0.0,1,5,24,14660.0,4,5,2848.0,1,3,6.0,0,1,0,0,1,False,False,False,False,False,False,0
1,42.0,2,15.0,85408.0,274402.0,4,8,32,20170.0,10,0,697.0,2,0,8.0,1,0,0,1,0,False,False,False,False,False,False,0
0,55.0,0,11.0,3865.0,0.0,0,2,27,16600.0,1,5,6089.0,2,0,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,43.0,0,7.0,58112.0,0.0,1,0,34,1500.0,4,0,0.0,0,2,11.0,0,1,1,0,1,False,False,False,False,False,False,0
0,54.0,0,12.0,65298.0,213225.0,4,0,5,8030.0,17,5,4528.0,3,5,1.0,1,0,0,0,1,False,False,False,False,False,False,0
1,37.0,2,9.0,54349.0,212419.0,4,4,28,10630.0,13,5,1381.0,1,4,11.0,1,0,0,0,1,False,False,False,False,False,False,0
0,44.0,0,12.0,60324.26537698413,0.0,4,8,32,10770.0,1,5,0.0,0,2,8.0,0,1,0,1,0,False,False,False,False,False,False,0
0,44.0,2,7.0,20324.0,147038.0,4,0,20,10280.0,1,3,0.0,0,0,1.0,1,0,1,0,1,False,False,False,False,False,False,0
2,37.0,3,11.0,159092.0,382687.0,1,8,29,15050.0,6,0,1927.0,3,0,8.0,1,0,1,0,1,False,False,False,False,False,False,0
0,31.0,2,0.0,0.0,0.0,0,6,48,7740.0,4,3,7323.0,1,7,1.0,1,0,0,0,1,False,False,False,False,False,False,0
2,36.0,2,0.0,0.0,110346.0,4,2,28,5100.0,4,0,39425.0,3,1,9.0,1,0,0,0,1,False,False,False,False,False,False,0
0,54.0,0,12.0,77267.0,0.0,1,4,14,14630.0,1,5,8395.0,2,0,9.0,0,1,0,0,1,False,False,False,False,False,False,0
0,39.0,0,0.0,0.0,0.0,4,6,53,5500.0,1,3,0.0,0,0,8.0,0,1,1,1,0,False,False,False,False,False,False,0
1,57.0,2,0.0,0.0,0.0,4,6,29,9240.0,1,2,8336.0,2,5,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,34.0,2,0.0,0.0,0.0,4,6,22,11520.0,9,5,0.0,0,0,9.0,0,1,0,0,1,False,False,False,False,False,False,0
0,48.0,0,10.0,7302.0,153217.67142857143,0,6,27,7030.0,10,5,3564.0,1,3,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,52.0,0,15.0,88691.0,279497.0,1,8,40,18200.0,4,4,1261.0,4,2,10.0,1,0,0,0,1,False,False,False,False,False,False,0
1,58.0,2,17.0,3272.0,0.0,0,6,42,7200.0,1,0,5086.0,2,2,5.0,1,0,0,0,1,False,False,False,False,False,False,0
0,45.0,0,14.0,65466.0,212677.0,4,8,24,7080.0,3,2,0.0,0,2,1.0,1,0,0,1,0,False,False,False,False,False,False,0
0,72.0,0,16.0,63890.0,256797.0,2,3,41,9100.0,7,3,4448.0,3,0,6.0,1,0,0,0,1,False,False,False,False,False,False,0
0,48.0,0,8.0,43075.0,175858.0,4,4,52,13970.0,4,5,5878.0,2,3,11.0,1,0,0,0,1,False,False,False,False,False,False,0
0,49.0,0,9.0,90658.0,276028.0,1,8,7,12350.0,13,0,0.0,0,0,7.0,0,1,0,1,0,False,False,False,False,False,False,0
0,57.0,0,14.0,200772.0,465304.0,3,1,27,9270.0,1,5,0.0,0,0,8.183399602385686,0,1,0,0,1,False,False,False,False,False,False,0
0,22.0,0,10.379091353199804,36821.0,193948.0,2,7,23,29390.0,6,2,8502.0,2,0,20.0,0,1,0,0,1,False,False,False,False,False,False,0
0,53.0,0,13.0,108744.0,333039.0,2,7,5,5430.0,1,2,3267.0,1,0,8.183399602385686,1,0,0,1,0,False,False,False,False,False,False,0
0,50.0,0,14.0,30795.0,174778.0,4,0,53,8920.0,6,2,0.0,0,0,1.0,1,0,1,1,0,False,False,False,False,False,False,0
0,59.0,0,12.0,155410.0,422815.0,1,4,40,33330.0,7,1,4765.0,3,4,10.0,1,0,0,1,0,False,False,False,False,False,False,0
0,33.0,3,7.0,60324.26537698413,147326.0,0,8,38,22520.0,5,0,3075.0,1,6,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,48.0,0,11.0,26875.0,0.0,4,0,18,10450.0,1,2,3830.0,1,8,6.0,0,1,0,1,0,False,False,False,False,False,False,0
1,42.0,3,11.0,99269.0,306012.0,1,5,34,25910.0,7,1,45894.0,2,1,10.0,0,1,0,1,0,False,False,False,False,False,False,0
0,50.0,0,11.0,102262.0,0.0,4,8,39,16730.0,14,4,0.0,0,0,8.0,0,1,1,1,0,False,False,False,False,False,False,0
0,53.0,0,2.0,13753.0,0.0,0,2,49,2880.0,4,3,0.0,0,1,8.183399602385686,0,1,1,0,1,False,False,False,False,False,False,0
0,49.0,0,9.0,60368.0,170643.0,1,4,16,6400.0,4,2,0.0,0,0,4.0,1,0,0,0,1,False,False,False,False,False,False,0
0,21.0,1,8.0,18483.0,0.0,4,0,20,8150.0,1,3,7781.0,2,3,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,50.0,0,9.0,58628.0,0.0,2,3,14,12360.0,1,0,0.0,0,0,15.0,0,1,0,0,1,False,False,False,False,False,False,0
0,53.0,0,0.0,0.0,105085.0,2,2,31,6800.0,11,2,0.0,0,0,14.0,1,0,0,0,1,False,False,False,False,False,False,0
0,49.0,0,2.0,81280.0,241420.0,1,5,24,14530.0,1,0,0.0,0,0,6.0,1,0,0,0,1,False,False,False,False,False,False,0
1,38.0,2,13.0,38317.0,125157.0,3,1,44,1500.0,1,3,2896.0,1,8,8.0,1,0,0,0,1,False,False,False,False,False,False,0
0,53.0,0,11.0,70026.0,0.0,2,3,39,18780.0,10,2,0.0,0,0,11.0,0,1,0,0,1,False,False,False,False,False,False,0
0,49.0,0,8.0,60324.26537698413,0.0,2,3,26,12910.0,4,0,0.0,0,0,17.0,0,1,0,0,1,False,False,False,False,False,False,0
0,48.0,0,8.0,134140.0,0.0,3,4,34,30240.0,1,1,7478.0,2,6,13.0,0,1,0,1,0,False,False,False,False,False,False,0
0,53.0,0,13.0,60324.26537698413,499433.0,3,1,26,14610.0,6,0,0.0,0,0,5.0,1,0,0,0,1,False,False,False,False,False,False,0
0,51.0,0,4.0,72453.0,0.0,3,1,52,13850.0,1,5,2847.0,4,7,15.0,0,1,0,0,1,False,False,False,False,False,False,0
2,37.0,2,5.0,60324.26537698413,235987.0,1,0,50,11270.0,1,0,0.0,0,3,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,26.0,3,13.0,14822.0,153217.67142857143,0,0,5,8830.0,10,3,7486.0,3,9,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,47.0,0,0.0,0.0,56266.0,1,2,32,6200.0,1,5,0.0,0,0,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,48.0,0,13.0,78966.0,0.0,1,5,39,21420.0,6,3,0.0,0,3,8.0,0,1,0,0,1,False,False,False,False,False,False,0
0,51.0,0,13.0,51513.0,0.0,2,3,42,6650.0,4,0,33388.0,2,4,17.0,0,1,0,0,1,False,False,False,False,False,False,0
0,33.0,0,11.0,60324.26537698413,122916.0,4,2,47,12400.0,20,0,5531.0,2,6,1.0,0,1,1,0,1,False,False,False,False,False,False,0
0,58.0,0,12.0,69282.0,295989.0,1,5,47,10520.0,6,2,1142.0,1,0,13.0,1,0,0,0,1,False,False,False,False,False,False,0
0,30.0,0,10.0,27803.0,0.0,4,0,41,7280.0,4,0,6322.0,2,5,8.0,0,1,0,0,1,False,False,False,False,False,False,0
0,50.0,0,8.0,34611.0,0.0,4,0,47,12760.0,1,0,3908.0,2,4,8.0,0,1,0,0,1,False,False,False,False,False,False,0
0,47.0,0,12.0,55019.0,206801.0,1,5,51,18110.0,4,5,9085.0,2,1,9.0,1,0,0,0,1,False,False,False,False,False,False,0
0,42.0,1,11.0,200928.0,513817.0,3,4,25,5600.0,1,2,4020.0,1,2,14.0,1,0,0,1,0,False,False,False,False,False,False,0
0,33.0,1,12.0,92060.0,0.0,1,5,24,14010.0,5,5,0.0,0,0,10.0,0,1,0,0,1,False,False,False,False,False,False,0
0,36.0,0,11.0,48901.0,210300.0,4,4,5,5100.0,1,2,3805.0,3,0,9.0,1,0,0,0,1,False,False,False,False,False,False,0
3,38.0,3,9.0,38212.0,160245.0,1,0,61,22320.0,1,4,4326.0,4,6,13.0,0,1,1,1,0,False,False,False,False,False,False,0
0,36.0,1,10.0,100095.0,0.0,2,3,15,17520.0,1,5,0.0,0,0,19.0,0,1,0,0,1,False,False,False,False,False,False,0
0,56.0,0,8.0,42834.0,146455.0,1,8,29,22760.0,4,1,0.0,0,5,8.0,1,0,1,1,0,False,False,False,False,False,False,0
0,37.0,3,15.0,130123.0,153217.67142857143,1,8,59,32260.0,4,0,0.0,0,0,7.0,1,0,0,1,0,False,False,False,False,False,False,0
0,57.0,0,13.0,27281.0,198619.0,4,2,24,22470.0,4,5,0.0,0,1,1.0,1,0,0,0,1,False,False,False,False,False,False,0
0,37.0,4,11.0,34622.0,188514.0,2,5,30,20170.0,6,4,7875.0,1,0,8.183399602385686,1,0,0,0,1,False,False,False,False,False,False,0
1,38.0,3,15.0,57925.0,144063.0,0,8,16,30770.0,6,0,0.0,0,0,6.0,1,0,0,0,1,False,False,False,False,False,False,0
1,39.0,3,17.0,25846.0,107211.0,4,0,68,26850.0,10,1,0.0,0,3,7.0,1,0,0,1,0,False,False,False,False,False,False,0
0,43.0,2,13.0,126496.0,153217.67142857143,2,7,22,26980.0,7,1,0.0,0,5,16.0,1,0,0,1,0,False,False,False,False,False,False,0
1,41.0,1,11.0,182782.0,0.0,3,7,36,23880.0,3,1,5639.0,2,5,14.0,0,1,0,1,0,False,False,False,False,False,False,0
0,28.0,4,12.0,94675.0,291876.0,2,7,47,10320.0,6,2,0.0,0,3,17.0,0,1,0,0,1,False,False,False,False,False,False,0
0,47.0,0,0.0,0.0,67647.0,1,2,19,6200.0,9,5,23972.0,2,1,9.0,1,0,0,0,1,False,False,False,False,False,False,0
0,38.0,0,12.0,60324.26537698413,122423.0,0,0,35,32460.0,1,1,1414.0,2,4,1.0,1,0,0,1,0,False,False,False,False,False,False,0
0,53.0,0,11.0,27045.0,161922.0,1,0,54,6800.0,6,2,6523.0,3,4,7.0,1,0,0,1,0,False,False,False,False,False,False,0
0,48.0,0,11.0,75984.0,0.0,4,8,42,37310.0,1,3,40386.0,3,1,2.0,0,1,0,1,0,False,False,False,False,False,False,0
0,48.0,0,12.0,88745.0,241555.0,4,8,55,7050.0,1,5,1031.0,2,5,12.0,1,0,0,1,0,False,False,False,False,False,False,0
0,44.0,2,14.0,26377.0,169045.0,4,0,30,8540.0,1,0,4236.0,3,3,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,54.0,0,6.0,73663.0,268990.0,1,5,14,41310.0,7,1,36700.0,1,3,5.0,1,0,0,1,0,False,False,False,False,False,False,0
0,55.0,0,15.0,87426.0,286182.0,1,8,41,8410.0,4,2,0.0,0,0,9.0,1,0,0,0,1,False,False,False,False,False,False,0
0,41.0,2,12.0,10758.0,92197.0,2,2,41,22210.0,7,2,0.0,0,2,12.0,1,0,0,1,0,False,False,False,False,False,False,0
